Основание: 2,1,1,2
,2,2,3
,3,3,4
,4,4,4
,5,5,5
,6,6,5
,7,7,6
,8,8,5
,9,9,6
,10,10,6
,11,11,7
,12,12,6
,13,13,7
,14,14,7
,15,15,8
,16,16,6
,17,17,7
,18,18,7
,19,19,8
,20,20,7
,21,21,8
,22,22,8
,23,23,9
,24,24,7
,25,25,8
,26,26,8
,27,27,9
,28,28,8
,29,29,9
,30,30,9
,31,31,10
,32,32,7
,33,33,8
,34,34,8
,35,35,9
,36,36,8
,37,37,9
,38,38,9
,39,39,10
,40,40,8
,41,41,9
,42,42,9
,43,43,10
,44,44,9
,45,45,10
,46,46,10
,47,47,11
,48,48,8
,49,49,9
,50,50,9
,51,51,10
,52,52,9
,53,53,10
,54,54,10
,55,55,11
,56,56,9
,57,57,10
,58,58,10
,59,59,11
,60,60,10
,61,61,11
,62,62,11
,63,63,12
,64,64,8
,65,65,9
,66,66,9
,67,67,10
,68,68,9
,69,69,10
,70,70,10
,71,71,11
,72,72,9
,73,73,10
,74,74,10
,75,75,11
,76,76,10
,77,77,11
,78,78,11
,79,79,12
,80,80,9
,81,81,10
,82,82,10
,83,83,11
,84,84,10
,85,85,11
,86,86,11
,87,87,12
,88,88,10
,89,89,11
,90,90,11
,91,91,12
,92,92,11
,93,93,12
,94,94,12
,95,95,13
,96,96,9
,97,97,10
,98,98,10
,99,99,11
,100,100,10
